tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
																0	19	169	1	115	12	9	2	505,2666667	9,646053584	848,225249	7,237391639	611,6	2,098177454	7,370520799	0,284671533	0
																0	19	169	1	115	12	9	2	505,2666667	9,646053584	848,225249	7,237391639	611,6	2,098177454	7,370520799	0,284671533	0
																0	19	169	1	115	12	9	2	505,2666667	9,646053584	848,225249	7,237391639	611,6	2,098177454	7,370520799	0,284671533	0
																0	23	148	3	101	8	7	1	83,47170014	3,374326597	875,3599454	5,283280108	302,3407362	2,55142299	8,73862374	0,291970803	0
																0	23	148	3	101	8	7	1	83,47170014	3,374326597	875,3599454	5,283280108	302,3407362	2,55142299	8,73862374	0,291970803	0
																0	23	148	3	101	8	7	1	83,47170014	3,374326597	875,3599454	5,283280108	302,3407362	2,55142299	8,73862374	0,291970803	0
																0	9	170	0	120	8	13	2	695,2666667	3,149402675	704,6	2,804795808	216,2930768	3,100301265	10,89080188	0,284671533	0
																0	9	170	0	120	8	13	2	695,2666667	3,149402675	704,6	2,804795808	216,2930768	3,100301265	10,89080188	0,284671533	0
																0	9	170	0	120	8	13	2	695,2666667	3,149402675	704,6	2,804795808	216,2930768	3,100301265	10,89080188	0,284671533	0
																0	10	163	0	121	4	11	2	275,2500227	29,36977062	275,2500227	7,928319859	212,3274968	2,663658568	9,356954458	0,284671533	0
																0	10	163	0	121	4	11	2	275,2500227	29,36977062	275,2500227	7,928319859	212,3274968	2,663658568	9,356954458	0,284671533	0
																0	10	163	0	121	4	11	2	275,2500227	29,36977062	275,2500227	7,928319859	212,3274968	2,663658568	9,356954458	0,284671533	0
																0	14	200	2	152	4	11	2	266,2766023	9,085476838	266,2766023	6,683398496	746,1424039	1,637144647	6,408251904	0,255474453	0
																0	14	200	2	152	4	11	2	266,2766023	9,085476838	266,2766023	6,683398496	746,1424039	1,637144647	6,408251904	0,255474453	0
																0	14	200	2	152	4	11	2	266,2766023	9,085476838	266,2766023	6,683398496	746,1424039	1,637144647	6,408251904	0,255474453	0
																0	22	192	0	129	10	24	3	261,1001471	11,9751844	214,6666667	8,884682271	608,2666667	0,889561556	8,124662209	0,109489051	0
																0	22	192	0	129	10	24	3	261,1001471	11,9751844	214,6666667	8,884682271	608,2666667	0,889561556	8,124662209	0,109489051	0
																0	22	192	0	129	10	24	3	261,1001471	11,9751844	214,6666667	8,884682271	608,2666667	0,889561556	8,124662209	0,109489051	0
																0	16	163	0	107	12	15	2	206,2666667	4,245580497	694,235036	5,328986505	771,1545088	2,160752604	6,578291261	0,328467153	0
																0	16	163	0	107	12	15	2	206,2666667	4,245580497	694,235036	5,328986505	771,1545088	2,160752604	6,578291261	0,328467153	0
																0	16	163	0	107	12	15	2	206,2666667	4,245580497	694,235036	5,328986505	771,1545088	2,160752604	6,578291261	0,328467153	0
																0	22	194	2	137	12	16	2	537,4980005	12,19904945	384,5964217	4,864911491	611,2666667	1,890497938	7,848430832	0,240875912	0
																0	22	194	2	137	12	16	2	537,4980005	12,19904945	384,5964217	4,864911491	611,2666667	1,890497938	7,848430832	0,240875912	0
																0	22	194	2	137	12	16	2	537,4980005	12,19904945	384,5964217	4,864911491	611,2666667	1,890497938	7,848430832	0,240875912	0
																0	16	172	0	111	9	18	3	657,9333333	5,493769208	820,3273988	7,217545116	412,8666667	3,435449862	8,404582697	0,408759124	0
																0	16	172	0	111	9	18	3	657,9333333	5,493769208	820,3273988	7,217545116	412,8666667	3,435449862	8,404582697	0,408759124	0
																0	16	172	0	111	9	18	3	657,9333333	5,493769208	820,3273988	7,217545116	412,8666667	3,435449862	8,404582697	0,408759124	0
																0	12	190	0	110	4	29	3	254,5827818	9,44309672	508,6666667	6,204310506	462,2666667	1,547212004	7,065601483	0,218978102	0
																0	12	190	0	110	4	29	3	254,5827818	9,44309672	508,6666667	6,204310506	462,2666667	1,547212004	7,065601483	0,218978102	0
																0	12	190	0	110	4	29	3	254,5827818	9,44309672	508,6666667	6,204310506	462,2666667	1,547212004	7,065601483	0,218978102	0
																0	17	168	3	100	7	8	2	657,9333333	13,22186984	171,1304411	7,060219992	848,1425147	1,852083081	7,462805354	0,248175182	0
																0	17	168	3	100	7	8	2	657,9333333	13,22186984	171,1304411	7,060219992	848,1425147	1,852083081	7,462805354	0,248175182	0
																0	17	168	3	100	7	8	2	657,9333333	13,22186984	171,1304411	7,060219992	848,1425147	1,852083081	7,462805354	0,248175182	0
																0	16	177	3	114	9	17	3	702,0401841	8,165006447	349,0666667	6,233561882	204,9158674	2,521032866	9,868042931	0,255474453	0
